-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 03/31/2024 
Location: Latitude  38.4926   Longitude -78.5498 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 484.88 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE               MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,1,15,0.91,0.26,0.59,0.2,8.32,5.92,-2.4,1.29,3.01,0.29,281.6,24.09,53.91,3.36,0.03,0.16
2021,1,16,-1.2,-2.85,-2.02,-1.56,5.24,1.7,-3.54,1.64,3.13,0.37,269.77,30.23,54.73,4.03,0.03,0.18
2021,1,17,-0.0,-2.63,-1.31,-0.29,8.54,5.4,-3.14,1.78,3.11,0.39,283.96,31.99,54.59,4.22,0.04,0.19
2021,1,18,-1.49,-4.52,-3.01,-1.7,5.89,2.29,-3.6,1.57,3.25,0.34,276.01,28.7,56.94,3.97,0.04,0.2
2021,1,19,-0.67,-3.86,-2.27,-1.35,11.09,6.12,-4.97,2.77,3.29,0.6,253.49,48.64,58.37,5.8,0.05,0.28
2021,1,20,-0.96,-4.85,-2.9,-1.5,7.72,2.44,-5.27,2.85,3.42,0.61,246.6,49.5,59.9,5.91,0.06,0.3
2021,1,21,-0.44,-3.27,-1.85,-0.85,13.35,7.28,-6.07,3.26,3.35,0.7,248.7,57.38,59.53,6.7,0.06,0.32
2021,1,22,0.11,-3.9,-1.89,-0.24,8.34,4.79,-3.55,3.33,3.46,0.7,227.95,57.73,60.75,6.8,0.07,0.37
2021,1,23,-4.92,-9.67,-7.3,-4.92,7.8,-1.16,-8.95,3.62,3.66,0.76,203.53,61.44,62.7,7.19,0.07,0.38
2021,1,24,-3.62,-7.18,-5.4,-3.44,11.54,2.3,-9.24,2.21,3.43,0.46,265.8,39.96,60.84,5.2,0.05,0.28
2021,1,25,-0.42,-1.1,-0.76,-0.64,4.06,1.83,-2.23,0.7,3.06,0.15,291.44,13.93,54.9,2.06,0.02,0.12
2021,1,26,-0.01,-0.16,-0.09,-0.49,6.34,3.93,-2.41,1.77,3.32,0.36,300.27,32.73,59.79,4.41,0.05,0.28
2021,1,27,-1.01,-2.76,-1.88,-2.18,6.77,2.73,-4.04,2.35,3.5,0.48,282.66,41.75,62.05,5.32,0.07,0.36
2021,1,28,-4.85,-8.98,-6.92,-4.83,6.91,-2.08,-8.99,3.61,3.79,0.72,228.77,62.7,66.32,7.5,0.09,0.43
2021,1,29,-7.44,-11.58,-9.51,-7.77,8.69,-1.98,-10.66,3.8,3.84,0.75,198.91,65.03,66.43,7.66,0.07,0.39
2021,1,30,-5.21,-9.17,-7.19,-5.41,11.94,0.62,-11.31,3.49,3.82,0.68,225.2,60.61,66.67,7.34,0.08,0.38
2021,1,31,-3.32,-4.35,-3.84,-3.19,1.69,-2.45,-4.13,0.72,3.58,0.14,289.0,13.86,65.32,2.0,0.03,0.13
2021,2,1,-2.7,-4.32,-3.51,-2.59,4.88,0.01,-4.88,1.6,3.65,0.3,288.24,29.84,65.41,4.16,0.05,0.25
2021,2,2,-2.93,-5.56,-4.24,-3.02,4.18,-0.4,-4.58,1.78,3.83,0.34,278.73,32.88,68.46,4.53,0.05,0.26
2021,2,3,-3.73,-6.74,-5.23,-3.86,6.84,-0.27,-7.1,3.46,4.0,0.65,236.07,59.92,69.45,7.32,0.08,0.39
2021,2,4,-2.2,-6.1,-4.15,-2.59,17.12,6.98,-10.14,3.68,4.04,0.69,237.29,63.52,69.9,7.82,0.07,0.39
2021,2,5,0.58,-2.37,-0.89,0.25,9.97,6.82,-3.14,3.62,3.95,0.66,258.83,63.66,69.9,7.8,0.1,0.52
2021,2,6,1.08,-3.0,-0.96,0.11,8.05,5.18,-2.87,2.53,4.01,0.46,268.2,45.62,70.9,6.12,0.08,0.38
2021,2,7,-1.6,-3.58,-2.6,-2.13,10.38,2.88,-7.49,2.03,3.9,0.37,265.21,36.83,69.16,4.91,0.06,0.33
2021,2,8,-3.02,-6.48,-4.75,-3.28,11.05,3.38,-7.67,3.94,4.08,0.7,225.35,68.53,71.38,8.18,0.09,0.49
2021,2,9,1.15,-0.03,0.56,0.96,12.85,10.01,-2.85,2.85,3.78,0.51,289.39,51.25,67.41,6.5,0.08,0.4
2021,2,10,0.15,-1.45,-0.65,0.33,5.3,3.42,-1.88,0.96,3.77,0.16,300.21,18.53,66.96,2.7,0.03,0.17
2021,2,11,-0.69,-1.87,-1.28,-0.64,4.59,1.09,-3.5,0.97,3.86,0.17,290.95,19.12,70.15,2.83,0.05,0.24
2021,2,12,-3.21,-5.45,-4.33,-2.85,4.83,-0.22,-5.05,1.43,4.05,0.24,282.52,27.45,72.92,4.01,0.07,0.37
2021,2,13,-3.04,-4.52,-3.78,-2.7,1.38,-2.2,-3.57,0.89,4.04,0.15,282.76,17.56,74.4,2.6,0.05,0.24
2021,2,14,-0.88,-2.34,-1.61,-0.85,4.76,1.75,-3.01,1.34,3.97,0.23,295.04,26.21,71.65,3.76,0.08,0.4
2021,2,15,-0.69,-1.74,-1.21,-0.59,3.48,1.15,-2.34,0.91,3.94,0.15,306.21,18.03,72.13,2.62,0.05,0.28
2021,2,16,-1.65,-4.17,-2.91,-1.66,11.45,2.76,-8.68,2.82,4.35,0.46,278.51,50.04,77.09,6.52,0.12,0.61
2021,2,17,-5.35,-8.93,-7.13,-5.0,9.36,0.01,-9.35,4.11,4.55,0.66,239.27,72.88,81.26,9.04,0.16,0.77
2021,2,18,-3.88,-5.45,-4.66,-3.85,4.48,-1.2,-5.68,1.1,4.11,0.18,289.61,21.46,75.13,3.09,0.05,0.28
2021,2,19,-2.88,-4.67,-3.77,-3.31,9.37,2.01,-7.36,2.23,4.48,0.36,279.03,41.47,80.24,5.76,0.1,0.52
2021,2,20,-7.2,-10.67,-8.94,-7.24,7.94,-3.23,-11.16,3.81,4.92,0.6,222.8,65.85,85.17,8.39,0.12,0.62
2021,2,21,-5.44,-8.85,-7.14,-6.17,14.59,1.4,-13.18,4.34,4.92,0.68,229.4,75.94,86.02,9.43,0.14,0.7
2021,2,22,-1.35,-2.19,-1.77,-1.81,9.95,3.88,-6.07,1.58,4.57,0.24,276.9,30.23,82.86,4.22,0.09,0.45
2021,2,23,1.37,-1.02,0.17,0.64,13.59,8.86,-4.74,4.31,4.82,0.66,250.91,77.02,86.45,9.51,0.12,0.64
2021,2,24,5.23,2.51,3.87,4.34,15.41,13.87,-1.54,4.84,4.91,0.73,263.77,86.63,88.23,10.62,0.16,0.8
2021,2,25,3.69,-2.3,0.69,3.22,12.2,10.74,-1.45,4.53,5.03,0.68,251.59,80.05,89.22,9.7,0.15,-999.0
2021,2,26,1.08,-1.92,-0.42,0.97,6.05,4.71,-1.34,3.01,4.78,0.45,282.64,54.92,85.48,7.2,0.13,0.68
2021,2,27,5.42,4.33,4.87,5.01,15.15,14.77,-0.38,3.24,4.63,0.48,310.7,60.98,86.26,8.0,0.14,0.68
2021,2,28,7.31,7.51,7.41,6.65,8.39,11.89,3.5,0.75,4.52,0.11,333.09,15.35,85.09,2.3,0.05,0.23
2021,3,1,5.23,2.6,3.91,4.65,11.88,9.88,-2.0,1.76,4.94,0.25,304.57,33.55,89.61,4.77,0.1,0.5
2021,3,2,-0.17,-7.63,-3.9,-0.48,12.79,7.15,-5.63,5.47,5.53,0.78,218.01,95.41,96.62,11.73,0.2,0.98
2021,3,3,3.08,-2.57,0.25,2.76,15.59,12.46,-3.13,5.01,5.33,0.71,236.92,88.76,94.59,11.02,0.17,-999.0
2021,3,4,2.44,-1.82,0.31,2.34,13.86,9.44,-4.43,4.94,5.27,0.69,249.07,87.22,93.12,10.77,0.17,0.86
2021,3,5,-2.06,-7.91,-4.99,-1.83,10.09,3.69,-6.4,5.75,5.72,0.8,207.59,99.34,99.09,12.16,0.18,0.89
2021,3,6,-0.33,-6.02,-3.17,-0.29,9.76,5.83,-3.92,5.69,5.71,0.78,219.32,99.05,99.67,12.19,0.19,0.93
2021,3,7,-0.26,-6.41,-3.34,-0.5,11.45,6.71,-4.74,5.77,5.77,0.79,212.59,100.07,100.21,12.25,0.18,0.91
2021,3,8,3.01,-4.84,-0.91,1.48,16.23,12.07,-4.16,5.52,5.56,0.74,233.83,94.92,95.87,11.51,0.15,0.76
2021,3,9,8.44,2.8,5.62,7.22,16.8,17.04,0.24,4.23,5.19,0.56,282.05,75.06,91.7,9.46,0.15,0.73
2021,3,10,11.12,3.74,7.43,8.69,13.38,18.71,5.33,5.51,5.57,0.73,267.23,96.84,98.09,11.93,0.22,1.06
2021,3,11,12.4,8.29,10.34,12.0,14.69,20.15,5.46,5.38,5.51,0.7,306.15,97.6,100.15,12.15,0.23,1.14
2021,3,12,11.4,7.97,9.69,11.12,10.02,16.9,6.87,2.56,5.37,0.34,326.31,50.01,101.2,6.8,0.13,0.69
2021,3,13,6.85,-0.28,3.29,6.97,14.22,14.83,0.61,4.78,5.99,0.62,274.29,85.42,106.49,11.22,0.26,1.34
2021,3,14,5.12,-1.22,1.94,4.9,14.95,12.93,-2.01,5.43,5.97,0.7,259.96,97.23,106.7,12.43,0.27,1.32
2021,3,15,1.28,-5.77,-2.25,1.92,13.49,7.99,-5.5,5.05,6.17,0.64,257.0,89.59,108.91,11.7,0.24,1.21
2021,3,16,2.9,1.58,2.25,3.15,6.34,6.28,-0.06,2.93,5.65,0.37,307.63,55.18,102.67,7.67,0.16,0.8
2021,3,17,6.85,5.23,6.04,7.3,9.07,12.26,3.19,2.96,5.74,0.37,324.72,55.08,103.3,7.62,0.16,0.8
2021,3,18,8.34,7.66,8.01,8.19,10.4,14.02,3.62,1.4,5.45,0.17,338.93,29.39,102.42,4.38,0.1,0.5
2021,3,19,2.39,-4.26,-0.93,2.58,10.55,7.45,-3.1,6.33,6.33,0.77,248.04,111.41,111.34,13.91,0.24,1.2
2021,3,20,2.42,-4.38,-0.98,1.88,15.9,10.83,-5.07,6.44,6.39,0.78,223.89,111.55,110.86,13.77,0.25,1.22
2021,3,21,6.27,-1.79,2.24,4.31,13.54,14.31,0.76,6.41,6.39,0.77,238.74,112.35,112.1,13.91,0.23,1.18
2021,3,22,7.34,-1.27,3.04,5.24,13.19,15.25,2.06,6.13,6.39,0.73,248.33,109.29,114.29,13.78,0.29,-999.0
2021,3,23,9.07,7.53,8.3,7.9,10.69,13.49,2.8,2.56,5.93,0.3,326.67,49.87,108.44,6.98,0.16,0.84
2021,3,24,11.42,10.86,11.14,11.38,8.28,16.87,8.59,2.11,5.82,0.25,337.12,42.86,109.27,6.22,0.15,0.74
2021,3,25,13.55,12.8,13.18,13.39,10.38,18.42,8.05,2.72,5.81,0.32,348.32,53.73,107.93,7.48,0.16,0.84
2021,3,26,15.94,11.58,13.76,15.69,12.24,20.15,7.9,6.29,6.34,0.73,329.23,116.61,117.54,14.73,0.31,1.55
2021,3,27,12.14,9.52,10.83,11.9,13.32,19.01,5.7,4.34,6.16,0.5,309.02,80.19,111.75,10.41,0.2,1.03
2021,3,28,12.33,9.37,10.85,12.12,17.92,21.4,3.48,2.1,5.78,0.24,348.49,42.96,108.89,6.24,0.13,0.66
2021,3,29,6.27,-1.42,2.42,5.98,14.34,13.89,-0.45,6.3,6.79,0.72,249.64,112.56,121.73,14.21,0.24,-999.0
2021,3,30,9.69,4.15,6.92,9.3,16.52,17.79,1.26,6.49,6.72,0.73,270.45,116.59,120.62,14.66,0.27,-999.0
2021,3,31,11.73,10.73,11.23,11.48,10.6,17.3,6.69,1.56,6.08,0.17,336.11,32.32,115.21,4.8,0.1,0.52
2021,4,1,2.3,-3.99,-0.85,2.77,10.57,6.95,-3.62,4.58,6.8,0.51,289.51,81.37,119.51,10.92,0.23,1.2
2021,4,2,-1.14,-8.48,-4.81,-0.76,10.14,4.58,-5.56,6.78,7.21,0.75,229.71,118.45,125.22,15.15,0.22,1.11
2021,4,3,3.73,-4.49,-0.38,3.69,17.63,12.67,-4.96,6.72,6.9,0.73,241.55,117.63,120.58,14.83,0.23,1.18
2021,4,4,9.47,3.53,6.5,9.23,17.79,18.6,0.81,6.79,6.8,0.74,283.93,122.49,122.45,15.54,0.27,1.34
2021,4,5,12.31,4.11,8.21,11.3,18.53,21.17,2.65,6.32,6.7,0.69,296.14,114.76,121.19,14.6,0.29,1.45
2021,4,6,15.58,9.48,12.54,14.35,15.97,23.37,7.4,5.78,6.63,0.62,316.34,106.06,120.97,13.66,0.27,1.34
2021,4,7,17.33,11.83,14.58,16.83,14.47,24.58,10.11,5.39,6.45,0.58,334.83,99.27,117.49,12.68,0.24,1.2
2021,4,8,14.27,10.54,12.4,14.46,11.34,20.63,9.3,5.91,6.26,0.62,321.91,106.41,112.44,13.38,0.25,1.26
2021,4,9,13.67,11.93,12.8,14.05,9.45,19.08,9.64,2.94,6.48,0.31,365.98,57.8,119.8,8.2,0.17,0.87
2021,4,10,16.01,13.43,14.72,16.2,10.0,21.21,11.21,3.96,6.61,0.41,363.73,76.23,122.87,10.49,0.21,1.08
2021,4,11,16.29,11.87,14.08,16.36,11.09,21.44,10.35,6.33,7.0,0.66,340.29,117.59,129.09,15.23,0.33,1.62
2021,4,12,12.51,8.23,10.37,12.4,10.38,18.34,7.97,3.3,6.91,0.34,343.02,63.41,126.31,8.81,0.2,0.97
2021,4,13,12.58,8.5,10.54,12.44,13.46,19.44,5.98,6.05,7.04,0.62,325.27,111.91,129.36,14.63,0.29,1.45
2021,4,14,11.58,9.83,10.71,11.19,6.3,14.96,8.66,1.92,6.41,0.2,353.53,40.13,116.35,5.77,0.12,0.62
2021,4,15,9.21,3.73,6.47,9.55,10.99,14.51,3.52,4.4,7.35,0.45,322.53,81.48,132.55,11.12,0.23,1.2
2021,4,16,7.29,1.87,4.58,7.62,12.33,13.99,1.66,6.05,7.32,0.62,292.3,109.66,130.7,14.34,0.26,1.32
2021,4,17,8.39,3.8,6.09,8.33,14.16,15.19,1.04,4.83,7.18,0.48,311.03,89.91,128.36,11.94,0.22,1.13
2021,4,18,10.43,5.26,7.84,10.04,11.92,15.6,3.68,4.09,7.25,0.41,321.04,75.95,130.97,10.25,0.2,1.0
2021,4,19,11.33,4.37,7.85,10.55,10.67,16.85,6.19,5.12,7.25,0.51,311.86,94.36,130.12,12.59,0.26,1.3
2021,4,20,13.05,7.1,10.08,13.03,15.77,20.34,4.57,7.48,7.56,0.74,291.08,135.18,136.18,17.28,0.34,1.7
2021,4,21,7.74,1.94,4.83,8.11,12.57,12.58,0.01,5.37,7.39,0.53,295.92,97.19,131.72,12.9,0.26,1.32
2021,4,22,3.35,-3.6,-0.13,3.68,10.67,8.65,-2.02,5.46,7.57,0.54,275.09,96.67,131.64,12.7,0.23,1.21
2021,4,23,6.2,-0.27,2.97,6.01,16.12,13.43,-2.69,6.16,7.71,0.6,267.69,110.64,136.47,14.5,0.26,1.33
2021,4,24,7.65,2.58,5.12,6.85,8.89,12.19,3.3,3.22,7.09,0.31,306.91,62.1,127.38,8.41,0.16,0.83
2021,4,25,9.94,6.15,8.05,10.2,12.16,15.95,3.78,4.43,7.43,0.43,323.98,83.52,134.78,11.51,0.25,1.25
2021,4,26,11.12,3.81,7.47,10.9,18.72,20.05,1.33,7.74,7.8,0.75,280.09,141.41,141.91,18.09,0.35,1.73
2021,4,27,17.48,12.79,15.13,17.3,18.75,26.8,8.05,7.27,7.61,0.7,327.92,134.42,140.2,17.23,0.34,1.72
2021,4,28,20.1,16.09,18.09,19.84,12.05,26.43,14.39,5.86,7.19,0.56,366.23,109.52,132.7,14.23,0.31,1.59
2021,4,29,19.48,15.6,17.54,19.21,10.23,25.33,15.09,3.32,6.75,0.32,395.11,66.15,125.96,9.05,0.23,1.12
2021,4,30,12.88,5.62,9.25,12.91,12.56,18.4,5.84,7.36,8.01,0.7,307.04,134.2,144.72,17.56,0.41,2.04
2021,5,1,10.46,-0.01,5.23,10.63,17.49,19.19,1.69,8.38,8.37,0.8,260.41,149.97,148.84,19.36,0.38,1.9
2021,5,2,17.02,9.51,13.26,16.87,17.07,25.48,8.41,6.83,7.83,0.65,335.87,127.83,145.07,16.93,0.38,1.93
2021,5,3,17.43,15.6,16.51,17.3,8.45,22.05,13.59,3.53,6.91,0.33,374.36,71.13,130.11,9.94,0.23,1.16
2021,5,4,19.76,17.18,18.47,19.6,11.16,25.38,14.23,4.79,7.29,0.45,367.2,91.23,136.41,11.93,0.27,1.38
2021,5,5,16.78,12.71,14.75,16.92,14.64,22.5,7.87,5.65,7.58,0.53,358.98,107.58,141.83,14.38,0.34,1.73
2021,5,6,10.01,2.55,6.28,10.12,13.48,16.62,3.14,7.32,8.26,0.68,290.76,132.01,147.35,17.28,0.39,1.96
2021,5,7,9.07,3.8,6.44,8.14,8.56,12.43,3.87,3.26,7.6,0.3,314.75,64.1,136.59,8.98,0.18,0.93
2021,5,8,8.67,2.1,5.38,8.8,11.15,14.44,3.29,7.45,8.21,0.69,285.3,133.9,146.2,17.37,0.32,1.59
2021,5,9,12.38,6.48,9.43,12.09,13.78,18.42,4.64,4.88,7.61,0.45,337.3,92.48,138.59,12.57,0.27,1.33
2021,5,10,12.3,5.76,9.03,12.75,10.18,18.17,7.99,6.37,8.02,0.59,328.65,119.27,148.13,15.88,0.37,1.84
2021,5,11,12.3,4.33,8.31,12.82,12.6,19.1,6.5,6.25,7.98,0.57,326.1,114.99,144.21,15.12,0.34,1.7
2021,5,12,10.12,1.89,6.01,10.51,12.27,16.62,4.34,6.28,8.39,0.57,307.46,116.03,151.4,15.62,0.38,1.86
2021,5,13,12.3,2.27,7.29,12.59,13.63,18.76,5.12,7.84,8.43,0.71,289.76,142.7,151.99,18.45,0.41,2.04
2021,5,14,13.22,3.76,8.48,13.24,14.16,19.48,5.32,5.43,8.26,0.49,314.1,100.2,149.9,13.38,0.27,1.34
2021,5,15,15.15,5.1,10.12,15.24,15.29,21.83,6.55,6.84,8.22,0.62,308.41,124.79,148.43,16.17,0.32,1.62
2021,5,16,12.75,9.12,10.94,12.83,6.4,16.24,9.84,2.35,7.69,0.21,341.77,47.72,140.93,6.72,0.13,0.65
2021,5,17,14.43,9.01,11.72,13.99,10.25,19.05,8.8,5.97,7.83,0.54,331.61,112.67,143.88,14.8,0.3,1.52
2021,5,18,16.62,10.99,13.8,16.34,10.66,21.99,11.33,6.99,8.04,0.62,341.48,131.13,149.25,17.03,0.36,1.79
2021,5,19,18.94,11.39,15.16,19.27,16.61,26.9,10.3,8.15,8.27,0.73,329.33,152.03,152.98,19.54,0.41,2.04
2021,5,20,21.42,12.12,16.77,21.65,15.94,29.32,13.38,7.89,8.19,0.7,332.84,145.59,150.01,18.64,0.39,1.93
2021,5,21,20.59,11.33,15.96,21.12,16.05,28.68,12.62,8.12,8.17,0.73,329.48,150.62,150.52,19.15,0.41,2.05
2021,5,22,21.3,12.44,16.87,21.39,14.7,29.35,14.65,5.66,7.8,0.5,365.66,107.52,144.09,14.05,0.32,1.6
2021,5,23,23.23,14.19,18.71,23.67,14.73,30.26,15.53,6.62,7.89,0.59,380.42,126.05,148.0,16.48,0.39,1.97
2021,5,24,21.07,17.88,19.48,21.28,7.42,24.49,17.07,2.25,6.86,0.2,399.67,46.7,127.65,6.5,0.16,0.77
2021,5,25,21.73,16.37,19.05,22.42,14.36,29.09,14.73,5.56,7.52,0.49,391.88,107.72,142.02,14.31,0.38,1.91
2021,5,26,24.15,17.25,20.7,24.57,13.3,30.98,17.67,6.6,7.66,0.59,394.41,126.23,144.73,16.41,0.41,2.11
2021,5,27,22.28,14.37,18.33,23.07,12.61,28.67,16.06,7.74,8.43,0.68,359.5,144.59,155.73,19.0,0.48,2.4
2021,5,28,19.67,15.62,17.65,20.04,11.07,26.51,15.44,3.88,7.39,0.34,377.84,76.95,138.95,10.57,0.27,1.31
2021,5,29,13.2,10.8,12.0,13.61,9.75,17.8,8.05,2.23,7.96,0.2,355.7,46.51,148.31,6.81,0.17,0.86
2021,5,30,11.48,6.87,9.17,12.25,12.13,18.3,6.18,2.79,8.22,0.24,347.64,56.77,152.79,8.4,0.2,0.99
2021,5,31,15.69,8.02,11.86,16.33,17.03,23.83,6.8,7.58,8.51,0.66,315.78,140.96,156.63,18.31,0.38,1.91
2021,6,1,19.31,12.02,15.66,19.84,15.61,26.22,10.61,6.2,8.01,0.54,350.82,115.73,146.53,15.16,0.34,1.72
2021,6,2,19.71,13.68,16.69,20.05,9.88,24.99,15.12,5.61,7.65,0.49,373.74,106.3,140.15,13.87,0.34,1.67
2021,6,3,21.49,16.05,18.76,21.98,12.18,28.46,16.28,3.92,7.45,0.34,386.23,77.05,139.17,10.47,0.27,1.3
2021,6,4,21.84,15.25,18.55,22.38,10.68,27.9,17.23,7.16,8.17,0.62,363.59,136.2,153.38,17.8,0.41,2.09
2021,6,5,23.91,14.26,19.08,24.48,16.2,32.0,15.79,8.07,8.37,0.7,354.02,152.84,157.25,19.7,0.42,2.12
2021,6,6,25.13,16.57,20.85,25.69,13.22,30.96,17.74,6.84,8.23,0.59,390.84,132.88,157.55,17.59,0.41,2.04
2021,6,7,25.05,18.88,21.96,25.51,11.73,31.9,20.16,5.34,7.74,0.46,407.04,105.17,147.75,14.06,0.34,1.68
2021,6,8,25.19,19.37,22.28,25.84,11.73,31.47,19.75,5.87,7.78,0.51,405.18,114.53,148.25,15.38,0.38,1.91
2021,6,9,23.02,18.98,21.0,23.16,8.55,27.69,19.15,3.96,7.47,0.34,401.2,79.46,142.29,10.92,0.26,1.27
2021,6,10,22.89,18.89,20.89,23.15,9.27,27.87,18.6,4.6,7.64,0.4,403.9,92.6,147.29,12.81,0.34,1.66
