-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 03/31/2024 
Location: Latitude  38.8897   Longitude -77.0924 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 70.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE               MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2021,1,15,1.86,3.0,0.41,281.43,33.23,53.02,4.22,0.04,0.2,4.03,3.57,3.8,3.58,9.38,8.97,-0.42
2021,1,16,2.14,3.03,0.48,266.02,37.57,52.4,4.68,0.04,0.21,2.86,0.73,1.79,2.71,6.38,6.02,-0.36
2021,1,17,2.28,3.14,0.5,273.62,40.46,55.6,5.04,0.04,0.22,2.15,-0.42,0.87,1.87,9.4,7.37,-2.02
2021,1,18,2.17,3.18,0.48,275.55,38.01,55.52,4.81,0.05,0.23,1.08,-1.63,-0.27,0.72,6.9,5.19,-1.7
2021,1,19,3.03,3.26,0.66,252.88,53.41,57.98,6.2,0.05,0.3,1.62,-2.27,-0.33,0.81,10.05,8.01,-2.03
2021,1,20,2.89,3.35,0.62,251.96,49.96,58.43,5.84,0.05,0.3,0.63,-3.65,-1.51,-0.12,7.43,4.75,-2.68
2021,1,21,3.11,3.29,0.66,251.41,54.74,58.44,6.34,0.05,0.31,1.43,-1.94,-0.26,0.76,11.53,8.55,-2.99
2021,1,22,3.24,3.43,0.69,235.62,56.4,60.34,6.55,0.07,0.35,1.98,-1.44,0.27,1.4,7.65,6.48,-1.17
2021,1,23,3.5,3.61,0.73,213.8,59.79,62.21,6.88,0.07,0.36,-2.13,-7.03,-4.59,-1.81,4.24,0.02,-4.21
2021,1,24,2.64,3.46,0.55,262.99,47.08,61.55,5.76,0.06,0.32,-1.46,-6.38,-3.92,-0.97,5.6,1.23,-4.37
2021,1,25,0.9,3.17,0.19,292.77,17.59,57.23,2.55,0.03,0.15,0.13,-2.1,-0.99,0.2,3.32,2.37,-0.95
2021,1,26,1.55,3.32,0.31,298.45,28.67,60.79,3.66,0.05,0.23,0.25,-0.11,0.07,0.31,2.44,1.69,-0.75
2021,1,27,2.5,3.47,0.5,289.32,44.34,61.43,5.55,0.07,0.36,0.83,-1.33,-0.25,0.68,5.77,4.26,-1.49
2021,1,28,3.6,3.75,0.72,234.55,62.37,65.57,7.3,0.08,0.41,-1.76,-6.49,-4.13,-1.37,4.62,0.54,-4.09
2021,1,29,2.92,3.82,0.58,224.3,50.21,65.82,6.14,0.06,0.3,-3.67,-8.39,-6.03,-3.27,5.1,-1.06,-6.16
2021,1,30,3.75,3.82,0.73,222.83,64.46,66.42,7.46,0.07,0.38,-2.95,-7.07,-5.02,-2.76,9.7,1.5,-8.2
2021,1,31,0.75,3.5,0.15,289.1,14.5,63.73,2.1,0.03,0.13,-0.79,-2.12,-1.45,-0.6,2.55,0.44,-2.11
2021,2,1,0.98,3.51,0.19,289.91,18.8,62.59,2.67,0.03,0.16,-1.02,-2.13,-1.57,-0.92,2.39,0.46,-1.92
2021,2,2,1.95,3.75,0.37,286.61,35.7,67.53,4.78,0.05,0.26,-1.15,-2.93,-2.04,-1.19,2.69,0.33,-2.35
2021,2,3,2.75,3.87,0.52,257.27,48.34,68.07,6.08,0.06,0.32,-0.74,-3.03,-1.88,-1.12,5.29,1.91,-3.38
2021,2,4,3.86,4.04,0.72,234.23,66.1,69.72,7.83,0.07,0.39,-1.06,-4.43,-2.74,-1.98,10.92,4.01,-6.92
2021,2,5,3.62,3.82,0.66,265.29,63.7,67.95,7.59,0.09,0.47,2.62,0.36,1.49,1.8,11.06,8.86,-2.21
2021,2,6,2.6,3.99,0.48,273.95,46.76,70.78,6.16,0.08,0.38,2.27,-1.62,0.33,1.1,9.72,7.42,-2.3
2021,2,7,1.76,3.81,0.32,271.57,32.22,68.23,4.29,0.06,0.29,0.18,-1.17,-0.49,-0.27,8.77,3.35,-5.42
2021,2,8,4.02,4.08,0.72,228.26,70.1,71.84,8.21,0.09,0.5,-3.17,-7.48,-5.33,-2.43,8.55,1.56,-6.99
2021,2,9,3.4,3.77,0.6,283.31,60.68,67.63,7.34,0.09,0.45,1.34,-0.19,0.58,1.23,9.23,7.12,-2.11
2021,2,10,1.83,3.85,0.32,293.88,33.95,68.82,4.55,0.05,0.28,0.86,-1.57,-0.35,1.28,6.66,4.88,-1.79
2021,2,11,0.76,3.86,0.13,292.16,15.16,70.89,2.27,0.04,0.2,-0.33,-1.64,-0.99,-0.23,3.49,1.05,-2.45
2021,2,12,1.38,3.99,0.23,279.65,26.63,71.93,3.85,0.07,0.34,-2.41,-5.91,-4.16,-1.81,3.76,-0.35,-4.1
2021,2,13,0.74,4.05,0.12,281.87,14.67,75.52,2.2,0.04,0.2,-2.16,-4.26,-3.2,-1.73,1.57,-1.4,-2.96
2021,2,14,1.65,3.99,0.27,290.53,31.98,72.87,4.55,0.09,0.48,-0.19,-1.77,-0.98,0.12,5.91,2.78,-3.13
2021,2,15,1.17,3.97,0.2,308.17,23.05,73.21,3.34,0.07,0.36,1.04,-0.44,0.3,1.05,4.03,3.09,-0.93
2021,2,16,1.64,4.17,0.27,295.58,30.82,74.62,4.3,0.08,0.41,1.43,-0.74,0.34,1.26,11.19,6.73,-4.45
2021,2,17,4.19,4.53,0.68,238.96,74.48,80.93,9.03,0.15,0.74,-2.9,-7.33,-5.12,-2.08,5.34,0.16,-5.18
2021,2,18,0.87,4.08,0.14,295.58,17.49,75.2,2.59,0.05,0.23,-1.67,-3.5,-2.59,-1.25,3.3,0.27,-3.02
2021,2,19,1.89,4.33,0.3,283.24,35.93,78.84,4.97,0.09,0.45,-1.46,-2.88,-2.17,-1.49,6.13,1.62,-4.52
2021,2,20,4.2,4.65,0.66,222.64,72.12,79.79,8.78,0.13,0.66,-5.02,-8.12,-6.57,-4.92,6.02,-1.94,-7.95
2021,2,21,4.71,4.82,0.73,223.44,81.77,84.02,9.78,0.14,0.69,-3.4,-7.12,-5.26,-3.04,11.58,1.87,-9.71
2021,2,22,1.28,4.5,0.2,278.15,25.95,82.35,3.71,0.07,0.37,-0.52,-1.52,-1.02,-0.89,4.34,1.39,-2.96
2021,2,23,4.42,4.75,0.67,255.59,78.9,85.33,9.59,0.12,0.63,2.59,0.61,1.6,1.39,10.36,9.12,-1.24
2021,2,24,4.77,4.84,0.72,259.11,84.27,85.85,10.19,0.16,0.76,5.92,3.57,4.74,4.51,12.4,12.06,-0.34
2021,2,25,4.48,4.98,0.67,251.05,79.37,88.65,9.52,0.14,-999.0,5.43,0.19,2.8,4.19,8.34,9.6,1.26
2021,2,26,3.14,4.56,0.47,286.38,56.8,80.39,7.27,0.13,0.67,3.38,-0.57,1.4,3.13,7.39,7.37,-0.02
2021,2,27,2.38,4.57,0.35,318.99,46.01,85.62,6.3,0.11,0.55,5.48,4.76,5.12,4.9,8.01,9.26,1.26
2021,2,28,0.68,4.44,0.1,338.17,14.19,83.93,2.12,0.04,0.2,5.95,5.5,5.73,5.49,3.47,7.53,4.06
2021,3,1,1.09,4.76,0.16,316.91,21.84,87.56,3.23,0.06,0.33,5.93,3.3,4.61,5.3,10.8,11.48,0.67
2021,3,2,5.45,5.5,0.78,220.48,95.48,96.38,11.67,0.2,1.0,0.02,-5.84,-2.91,0.09,9.14,4.84,-4.3
2021,3,3,5.38,5.33,0.76,241.87,94.61,94.11,11.41,0.16,0.81,4.13,-0.07,2.03,3.85,14.26,11.69,-2.57
2021,3,4,4.98,5.13,0.7,250.87,87.85,90.74,10.67,0.16,0.83,4.01,-0.0,2.01,3.82,11.84,9.73,-2.13
2021,3,5,5.72,5.68,0.8,212.64,99.06,98.63,12.05,0.17,0.87,-0.92,-5.67,-3.29,-0.45,8.8,4.11,-4.69
2021,3,6,5.4,5.59,0.74,228.69,94.31,97.65,11.55,0.17,0.86,0.63,-3.81,-1.6,0.6,8.08,5.22,-2.85
2021,3,7,5.73,5.7,0.78,216.78,99.38,99.16,12.05,0.17,0.88,0.29,-4.84,-2.27,0.26,9.38,5.76,-3.63
2021,3,8,5.49,5.54,0.74,237.29,94.49,95.52,11.4,0.15,0.74,2.51,-3.05,-0.27,2.23,12.21,9.17,-3.04
2021,3,9,4.16,5.06,0.55,288.5,74.28,90.12,9.2,0.14,0.69,9.26,4.71,6.98,7.21,18.13,17.74,-0.39
2021,3,10,5.3,5.3,0.7,273.57,91.89,92.38,11.02,0.2,0.95,10.65,8.01,9.33,10.01,12.76,17.52,4.76
2021,3,11,5.44,5.49,0.71,297.87,98.3,99.57,12.01,0.22,1.09,13.6,11.05,12.32,12.69,13.4,20.9,7.51
2021,3,12,2.34,5.25,0.3,332.9,46.06,99.23,6.31,0.12,0.63,13.43,9.88,11.65,12.45,9.02,17.5,8.48
2021,3,13,5.4,5.99,0.7,272.98,96.03,106.34,12.17,0.27,1.38,6.96,0.2,3.58,6.96,10.47,12.04,1.58
2021,3,14,5.59,5.9,0.71,260.6,100.03,105.51,12.5,0.26,1.27,6.45,0.51,3.48,6.09,13.95,14.32,0.37
2021,3,15,5.67,6.21,0.72,249.88,100.23,109.2,12.77,0.25,1.22,1.56,-4.82,-1.63,2.48,10.2,6.39,-3.81
2021,3,16,1.5,5.53,0.19,313.38,30.46,100.33,4.48,0.09,0.45,4.08,1.88,2.98,4.3,5.7,6.73,1.03
2021,3,17,2.0,5.7,0.25,321.21,39.54,103.2,5.73,0.12,0.6,6.78,5.46,6.12,7.23,5.62,9.66,4.05
2021,3,18,1.12,5.26,0.14,340.08,23.66,98.62,3.5,0.07,0.37,8.66,7.82,8.24,8.59,9.39,12.95,3.56
2021,3,19,5.97,6.18,0.73,259.35,105.75,109.33,13.19,0.23,1.14,4.08,-1.39,1.34,4.2,8.09,8.03,-0.06
2021,3,20,6.33,6.3,0.77,231.15,110.14,109.71,13.44,0.23,1.17,4.27,-2.0,1.14,4.26,14.73,11.52,-3.2
2021,3,21,6.28,6.24,0.76,243.27,109.99,109.41,13.38,0.22,1.1,7.23,1.19,4.21,6.17,14.8,15.02,0.22
2021,3,22,5.59,6.15,0.67,256.8,100.02,110.2,12.23,0.21,-999.0,7.56,3.76,5.66,7.05,15.53,15.14,-0.39
2021,3,23,3.56,5.83,0.42,324.67,67.83,107.19,9.2,0.21,1.1,10.4,8.74,9.57,10.62,13.3,17.37,4.07
2021,3,24,1.12,5.8,0.13,344.79,23.8,110.58,3.58,0.08,0.4,11.7,11.29,11.49,11.28,6.88,15.33,8.45
2021,3,25,2.58,5.79,0.3,362.44,51.73,107.88,7.23,0.16,0.82,13.86,12.94,13.4,13.63,10.69,18.48,7.8
2021,3,26,6.1,6.19,0.71,338.64,113.66,115.45,14.23,0.3,1.51,17.51,13.66,15.58,16.51,12.7,22.69,10.0
2021,3,27,4.78,6.14,0.55,317.31,88.2,111.57,11.25,0.23,1.12,13.23,9.52,11.37,13.02,12.57,19.87,7.3
2021,3,28,1.97,5.45,0.23,354.74,40.04,101.81,5.62,0.12,0.59,13.22,10.96,12.08,12.78,14.47,21.44,6.97
2021,3,29,6.56,6.82,0.74,251.8,117.06,121.51,14.76,0.27,-999.0,8.19,1.41,4.8,7.74,9.59,13.12,3.54
2021,3,30,6.66,6.64,0.75,276.48,120.0,119.68,14.91,0.28,1.39,10.67,6.94,8.8,10.55,14.41,17.58,3.18
2021,3,31,1.29,5.99,0.14,347.21,26.98,113.07,3.96,0.08,0.4,14.48,13.68,14.08,13.85,8.16,18.42,10.26
2021,4,1,4.6,6.68,0.51,291.88,82.92,118.98,10.98,0.24,1.23,5.48,1.16,3.32,6.1,9.57,9.32,-0.25
2021,4,2,6.86,7.05,0.76,225.45,119.14,122.25,14.91,0.21,1.07,1.49,-4.75,-1.63,2.33,9.68,6.78,-2.9
2021,4,3,6.8,6.93,0.75,245.03,118.93,121.02,14.71,0.21,1.08,4.32,-2.06,1.13,5.01,14.48,11.15,-3.33
2021,4,4,6.48,6.58,0.7,292.56,116.57,118.02,14.48,0.23,1.17,10.8,5.41,8.11,10.42,15.86,18.86,2.99
2021,4,5,6.48,6.77,0.7,293.37,117.52,122.36,14.77,0.28,1.41,12.44,5.94,9.19,11.36,15.41,19.24,3.83
2021,4,6,6.43,6.59,0.7,316.52,118.46,121.12,14.78,0.28,1.41,15.12,9.65,12.38,14.57,13.89,22.12,8.23
2021,4,7,5.69,6.25,0.61,339.22,103.8,113.38,12.89,0.23,1.16,16.45,11.47,13.96,16.43,15.15,24.65,9.51
2021,4,8,6.02,6.46,0.64,331.12,110.26,118.06,13.81,0.26,1.27,13.76,10.18,11.97,14.02,8.09,18.78,10.69
2021,4,9,2.0,6.28,0.21,372.14,41.04,116.34,5.84,0.12,0.62,13.93,12.17,13.05,14.4,8.69,18.94,10.25
2021,4,10,3.6,6.52,0.38,360.84,70.2,121.5,9.55,0.19,0.97,15.51,13.69,14.6,15.85,10.21,21.03,10.83
2021,4,11,5.8,6.78,0.6,358.25,108.38,125.41,13.96,0.3,1.47,18.46,15.0,16.73,18.15,9.81,24.01,14.2
2021,4,12,3.22,6.78,0.34,348.39,62.16,124.32,8.45,0.18,0.9,13.15,10.58,11.87,13.98,6.77,16.15,9.37
2021,4,13,5.43,7.02,0.56,334.73,101.77,129.66,13.42,0.26,1.29,12.62,9.62,11.12,13.35,8.47,17.32,8.84
2021,4,14,2.24,6.53,0.23,351.52,45.86,120.57,6.48,0.13,0.66,12.36,11.37,11.87,12.29,6.79,15.31,8.52
2021,4,15,4.93,7.03,0.5,327.95,90.88,127.09,11.99,0.25,1.27,12.05,7.55,9.8,12.3,11.16,16.98,5.82
2021,4,16,5.53,7.33,0.56,296.57,101.3,131.71,13.24,0.24,1.23,8.8,4.06,6.43,9.27,10.38,13.78,3.4
2021,4,17,5.17,7.33,0.52,311.29,96.06,132.53,12.7,0.23,1.18,9.58,5.49,7.54,10.08,11.07,14.24,3.17
2021,4,18,5.2,7.28,0.52,323.91,96.04,132.48,12.57,0.24,1.22,11.62,6.57,9.09,12.05,13.23,17.21,3.98
2021,4,19,3.81,6.88,0.38,320.0,71.43,123.76,9.31,0.18,0.91,11.55,7.9,9.73,11.44,8.84,15.87,7.04
2021,4,20,7.42,7.42,0.73,292.55,133.91,133.7,16.84,0.33,1.61,14.35,9.44,11.9,14.23,15.55,21.65,6.1
2021,4,21,5.36,7.09,0.53,298.75,98.45,127.38,12.71,0.25,1.26,10.62,5.33,7.98,10.81,13.77,16.57,2.8
2021,4,22,5.46,7.58,0.54,276.59,97.05,132.68,12.69,0.24,1.24,5.53,-1.09,2.23,6.26,10.23,10.33,0.1
2021,4,23,6.65,7.69,0.65,273.26,119.2,136.49,15.34,0.27,1.36,8.73,2.94,5.83,8.94,14.49,15.63,1.14
2021,4,24,3.64,7.2,0.35,310.77,70.4,130.11,9.52,0.19,0.95,10.61,6.12,8.37,10.56,12.47,16.46,3.99
2021,4,25,4.52,7.32,0.44,335.23,85.47,133.86,11.7,0.25,1.27,12.94,9.07,11.01,13.06,9.27,17.55,8.28
2021,4,26,7.76,7.82,0.75,280.95,141.71,142.28,18.03,0.34,1.71,11.24,3.42,7.33,10.91,13.99,17.52,3.53
2021,4,27,7.17,7.46,0.69,327.77,132.58,137.4,16.79,0.33,1.64,17.23,13.25,15.24,16.91,18.16,25.7,7.55
2021,4,28,6.13,7.17,0.59,365.84,114.42,132.26,14.64,0.32,1.59,21.45,17.75,19.6,20.63,11.2,27.6,16.4
2021,4,29,3.91,6.91,0.38,398.3,77.02,130.16,10.4,0.26,1.28,21.58,18.47,20.02,20.79,8.71,26.3,17.59
2021,4,30,6.93,7.91,0.66,320.79,127.23,143.47,16.55,0.38,1.9,14.64,7.71,11.17,14.56,12.32,19.51,7.19
2021,5,1,8.2,8.24,0.77,268.93,146.84,146.59,18.75,0.36,1.79,11.15,2.8,6.98,11.62,13.62,18.15,4.53
2021,5,2,6.79,7.7,0.64,341.03,127.32,143.16,16.59,0.37,1.85,17.56,12.55,15.05,17.17,17.12,26.08,8.95
2021,5,3,2.98,6.74,0.28,384.28,60.96,126.91,8.44,0.2,0.96,19.07,17.38,18.23,18.75,7.34,23.05,15.7
2021,5,4,5.5,7.29,0.52,376.32,105.42,137.23,13.76,0.33,1.65,21.81,19.31,20.56,21.51,8.82,26.44,17.62
2021,5,5,5.56,7.37,0.52,362.06,107.15,138.64,14.07,0.34,1.7,18.69,15.37,17.03,18.5,13.76,24.74,10.99
2021,5,6,7.52,8.19,0.7,289.29,136.16,146.73,17.61,0.41,2.04,12.92,6.07,9.5,13.39,10.59,17.62,7.02
2021,5,7,3.41,7.71,0.31,318.27,68.03,140.76,9.51,0.2,0.98,12.52,7.65,10.08,12.42,9.98,17.23,7.26
2021,5,8,6.53,7.99,0.6,294.23,119.12,143.3,15.38,0.28,1.43,9.73,5.52,7.62,10.21,8.7,14.28,5.58
2021,5,9,5.17,7.69,0.48,338.05,98.41,141.09,13.24,0.27,1.38,13.21,8.21,10.71,13.54,12.56,19.08,6.53
2021,5,10,5.7,7.93,0.52,330.02,108.34,147.84,14.31,0.33,1.65,13.83,8.2,11.01,14.22,8.7,18.03,9.33
2021,5,11,6.25,8.03,0.57,334.07,116.16,146.6,15.23,0.34,1.73,13.56,7.23,10.39,14.05,10.66,19.3,8.64
2021,5,12,6.51,8.33,0.59,309.29,120.43,150.66,15.99,0.38,1.88,11.94,5.32,8.62,12.37,12.33,17.9,5.57
2021,5,13,7.65,8.31,0.7,291.88,139.98,150.37,17.93,0.38,-999.0,14.53,5.92,10.23,14.34,12.64,19.77,7.13
2021,5,14,5.52,8.1,0.5,319.13,102.07,146.86,13.45,0.27,1.33,15.76,7.56,11.66,15.91,12.76,21.63,8.87
2021,5,15,7.42,8.16,0.67,307.71,135.29,147.21,17.25,0.34,1.7,16.37,8.9,12.64,16.61,14.54,23.46,8.92
2021,5,16,3.6,7.92,0.33,345.3,71.2,146.26,9.81,0.21,1.05,15.4,10.07,12.73,15.4,10.92,20.8,9.87
2021,5,17,6.42,7.9,0.58,334.93,120.82,145.89,15.54,0.32,1.59,16.79,10.76,13.77,16.55,8.95,21.58,12.64
2021,5,18,7.87,8.07,0.7,328.02,146.21,148.83,18.45,0.38,1.86,17.85,11.64,14.74,18.15,13.25,24.3,11.05
2021,5,19,8.05,8.13,0.72,333.1,150.17,150.59,19.05,0.39,1.95,20.37,13.49,16.94,20.08,15.24,27.45,12.21
2021,5,20,7.42,7.83,0.66,348.02,137.66,144.11,17.31,0.35,1.74,20.83,14.65,17.74,20.55,13.31,27.98,14.65
2021,5,21,8.05,8.06,0.72,325.71,148.47,147.84,18.62,0.39,1.93,19.5,12.51,16.01,19.65,12.65,26.05,13.4
2021,5,22,5.58,7.58,0.5,370.17,106.2,140.06,13.67,0.3,1.51,21.47,16.05,18.76,21.06,14.38,29.25,14.87
2021,5,23,7.0,7.8,0.62,384.19,133.71,147.38,17.27,0.41,2.04,24.27,18.52,21.4,23.76,11.51,29.92,18.41
2021,5,24,2.39,7.08,0.21,397.93,50.63,134.17,7.07,0.18,0.88,18.69,15.93,17.31,19.27,8.66,22.93,14.27
2021,5,25,5.83,7.05,0.52,381.45,110.2,131.67,13.8,0.34,1.7,19.46,16.49,17.98,20.37,12.35,25.94,13.58
2021,5,26,6.58,7.58,0.58,402.19,127.37,144.58,16.48,0.42,2.15,24.43,20.76,22.6,24.33,11.44,30.41,18.97
2021,5,27,7.73,8.32,0.68,369.41,146.27,155.84,19.02,0.46,2.33,22.98,17.52,20.25,22.97,8.59,27.34,18.74
2021,5,28,3.74,7.19,0.33,391.88,74.61,134.82,10.02,0.24,1.2,20.65,17.93,19.29,20.98,7.57,24.76,17.19
2021,5,29,1.8,7.63,0.16,358.54,38.87,142.48,5.64,0.14,0.7,11.87,9.9,10.88,12.83,7.83,17.4,9.56
2021,5,30,2.68,8.11,0.23,343.25,55.34,151.95,8.12,0.19,0.95,10.78,8.28,9.53,11.65,4.93,13.67,8.75
2021,5,31,7.68,8.42,0.67,315.0,143.14,155.67,18.45,0.39,1.93,15.68,10.48,13.08,16.04,14.82,22.16,7.34
2021,6,1,6.44,8.03,0.56,352.34,121.12,147.87,15.79,0.36,1.8,18.46,14.44,16.45,18.73,12.64,24.22,11.58
2021,6,2,5.74,7.55,0.5,375.78,108.57,138.63,13.92,0.33,1.66,19.56,15.8,17.68,19.65,9.28,24.99,15.71
2021,6,3,4.68,7.49,0.41,396.78,91.98,141.32,12.21,0.31,1.56,22.21,19.45,20.83,22.34,10.32,27.38,17.06
2021,6,4,6.15,7.9,0.54,377.2,118.51,149.27,15.59,0.38,1.88,22.7,19.03,20.87,22.34,7.49,26.94,19.44
2021,6,5,7.98,8.16,0.7,362.56,151.69,153.9,19.27,0.41,2.05,24.16,18.49,21.33,23.73,13.15,30.58,17.42
2021,6,6,7.51,8.08,0.66,389.73,144.95,154.39,18.7,0.42,2.13,25.62,20.17,22.9,25.58,13.44,31.77,18.33
2021,6,7,6.39,7.76,0.55,402.71,125.18,149.51,16.34,0.38,1.91,26.22,22.0,24.11,26.07,8.45,30.69,22.24
2021,6,8,5.96,7.55,0.52,405.41,116.77,144.84,15.27,0.37,1.84,26.08,22.42,24.25,25.94,7.01,29.82,22.81
2021,6,9,4.55,7.65,0.39,404.83,91.71,147.8,12.73,0.31,1.55,24.97,21.92,23.44,24.83,6.74,28.29,21.55
2021,6,10,4.56,7.6,0.4,410.56,92.16,146.92,12.67,0.32,1.6,24.95,21.4,23.18,25.45,9.75,29.95,20.2
2021,6,11,1.9,7.42,0.16,411.2,41.62,142.77,6.09,0.15,0.73,21.07,19.9,20.48,21.39,4.97,23.57,18.6
2021,6,12,3.08,7.61,0.27,388.3,62.74,144.12,8.75,0.22,1.12,21.48,18.62,20.05,22.35,8.46,25.9,17.44
